user_date,additions,deletions
Cheng Zhao (2015-06-18T10:25:42Z),56,40
Haojian Wu (2015-06-19T02:29:17Z),272,0
Haojian Wu (2015-06-19T02:29:17Z),69,11
Haojian Wu (2015-06-19T02:29:17Z),113,1
Haojian Wu (2015-06-19T02:29:17Z),2,2
Haojian Wu (2015-06-19T02:29:17Z),6,1
Haojian Wu (2015-06-19T02:29:18Z),64,0
Haojian Wu (2015-06-19T02:29:18Z),63,0
Haojian Wu (2015-06-19T02:30:08Z),211,112
Haojian Wu (2015-06-19T05:57:54Z),78,66
Haojian Wu (2015-06-19T06:18:22Z),15,2
Haojian Wu (2015-06-20T02:41:40Z),39,37
Haojian Wu (2015-06-20T02:42:18Z),13,11
Haojian Wu (2015-06-16T12:07:45Z),15,24
Haojian Wu (2015-06-16T12:07:45Z),5,14
Haojian Wu (2015-06-16T12:08:30Z),62,65
Haojian Wu (2015-06-16T12:08:30Z),5,0
Haojian Wu (2015-06-16T12:08:30Z),27,15
Haojian Wu (2015-06-16T12:17:58Z),4,0
Paul Betts (2015-06-17T01:17:51Z),1,1
Paul Betts (2015-06-17T01:18:14Z),1,1
Cheng Zhao (2015-06-17T01:31:33Z),124,55
Cheng Zhao (2015-06-17T02:19:58Z),26,47
Cheng Zhao (2015-06-17T02:57:26Z),41,15
Cheng Zhao (2015-06-17T03:04:15Z),8,0
Cheng Zhao (2015-06-17T03:11:13Z),8,1
Cheng Zhao (2015-06-17T03:22:02Z),20,8
Cheng Zhao (2015-06-17T03:30:31Z),6,0
Cheng Zhao (2015-06-17T03:32:39Z),10,1
Cheng Zhao (2015-06-17T03:34:47Z),7,3
Cheng Zhao (2015-06-17T04:00:26Z),317,4
Cheng Zhao (2015-06-17T04:22:56Z),1149,63
Cheng Zhao (2015-06-17T04:38:36Z),1,1
Cheng Zhao (2015-06-17T07:52:49Z),1,0
Paul Betts (2015-06-18T00:15:02Z),3,0
Paul Betts (2015-06-18T00:15:52Z),6,0
Paul Betts (2015-06-18T00:16:08Z),3,0
Paul Betts (2015-06-18T00:31:50Z),5,0
Paul Betts (2015-06-19T19:16:12Z),55,0
Paul Betts (2015-06-19T19:48:02Z),1,0
Paul Betts (2015-06-19T19:58:47Z),17,0
Paul Betts (2015-06-19T20:00:37Z),55,55
Paul Betts (2015-06-19T20:04:28Z),3,1
